2024/07/09 00:37:01 [warn] 231#231: *9591 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/01/0000000018 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:42:00 [warn] 229#229: *9823 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/01/0000000019 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:42:00 [warn] 231#231: *9826 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/02/0000000020 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:42:00 [warn] 229#229: *9824 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/02/0000000021 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:42:00 [warn] 229#229: *9820 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/02/0000000022 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:44:45 [warn] 242#242: *9898 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/02/0000000023 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:44:45 [warn] 242#242: *9899 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:44:45 [warn] 242#242: *9897 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/02/0000000025 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:45:45 [warn] 242#242: *9944 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/02/0000000026 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:46:14 [warn] 242#242: *9933 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/02/0000000027 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:47:27 [warn] 242#242: *9929 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/02/0000000028 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:48:02 [warn] 242#242: *10143 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/02/0000000029 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:48:02 [warn] 242#242: *10146 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/03/0000000030 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:48:02 [warn] 242#242: *10142 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/03/0000000031 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:48:02 [warn] 242#242: *10139 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/03/0000000032 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:50:35 [warn] 245#245: *9948 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/03/0000000033 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:57:14 [warn] 243#243: *10364 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/03/0000000034 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:57:22 [warn] 244#244: *10365 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/03/0000000035 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:18 [warn] 308#308: *10774 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/03/0000000036 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:18 [warn] 307#307: *10773 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/03/0000000037 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:18 [warn] 309#309: *10775 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/03/0000000038 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:40 [warn] 307#307: *10807 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/03/0000000039 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:40 [warn] 307#307: *10806 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/04/0000000040 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:40 [warn] 307#307: *10803 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/04/0000000041 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:59 [warn] 308#308: *10846 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/04/0000000042 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:59 [warn] 309#309: *10844 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/04/0000000043 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:59 [warn] 307#307: *10845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/04/0000000044 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:04:59 [warn] 307#307: *10841 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/04/0000000045 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:05:39 [warn] 308#308: *10879 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/04/0000000046 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:05:39 [warn] 307#307: *10880 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/04/0000000047 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:05:39 [warn] 307#307: *10875 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/04/0000000048 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:05:39 [warn] 307#307: *10878 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/04/0000000049 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:08:28 [warn] 307#307: *10984 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/05/0000000050 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:08:28 [warn] 308#308: *10985 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/05/0000000051 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 01:08:28 [warn] 307#307: *10981 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/05/0000000052 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
